,Source,Longitude,Latitude
1,STREET,55.26154,25.19301
2,STREET,55.26475,25.19626
3,STREET,55.26778,25.19975
4,STREET,55.26874,25.20092
5,STREET,55.26925,25.20167
6,STREET,55.26977,25.20209
7,STREET,55.27061,25.20249
8,STREET,55.27184,25.20287
9,STREET,55.27278,25.20294
10,STREET,55.27378,25.20275
11,STREET,55.27397,25.20224
12,STREET,55.27249,25.1997
13,STREET,55.2722,25.19962
14,STREET,55.2719,25.19971
15,STREET,55.27116,25.19971
16,STREET,55.27058,25.19954
17,STREET,55.27032,25.19938
18,STREET,55.26974,25.19881
19,STREET,55.26948,25.19814
20,STREET,55.26926,25.19809
21,STREET,55.2694,25.19774
22,STREET,55.26859,25.19649
1,NOISE,55.26123756,25.19319725
2,NOISE,55.26472939,25.1967614
3,NOISE,55.26775939,25.2002514
4,NOISE,55.26834162,25.20117083
5,NOISE,55.26894756,25.20185725
6,NOISE,55.26946756,25.20227725
7,NOISE,55.27058939,25.2029914
8,NOISE,55.27181939,25.2033714
9,NOISE,55.27247756,25.20312725
10,NOISE,55.27338162,25.20300083
11,NOISE,55.27366756,25.20242725
12,NOISE,55.27209162,25.19995083
13,NOISE,55.27189756,25.19980725
14,NOISE,55.27150162,25.19996083
15,NOISE,55.27085756,25.19989725
16,NOISE,55.27055939,25.2000414
17,NOISE,55.26992162,25.19963083
18,NOISE,55.26934162,25.19906083
19,NOISE,55.26945939,25.1986414
20,NOISE,55.26923939,25.1985914
21,NOISE,55.26900162,25.19799083
22,NOISE,55.26856939,25.1969914
1,OSRM,55.26125,25.193184
2,OSRM,55.264609,25.196851
3,OSRM,55.267752,25.200254
4,OSRM,55.268373,25.201151
5,OSRM,55.268886,25.201891
6,OSRM,55.269399,25.202317
7,OSRM,55.270619,25.203076
8,OSRM,55.271818,25.203371
9,OSRM,55.272477,25.203112
10,OSRM,55.273381,25.203005
11,OSRM,55.273887,25.202543
12,OSRM,55.272048,25.199857
13,OSRM,55.271939,25.199898
14,OSRM,55.271541,25.200048
15,OSRM,55.27085,25.199896
16,OSRM,55.270706,25.200171
17,OSRM,55.26969,25.199766
18,OSRM,55.269227,25.199127
19,OSRM,55.269611,25.198574
20,OSRM,55.268958,25.198757
21,OSRM,55.269141,25.198165
22,OSRM,55.268856,25.196833
1,GOOGLE,55.26128667,25.19316098
2,GOOGLE,55.26463384,25.19683372
3,GOOGLE,55.26778433,25.20023732
4,GOOGLE,55.2684037,25.2011358
5,GOOGLE,55.26891407,25.20187615
6,GOOGLE,55.26945247,25.20228521
7,GOOGLE,55.27059489,25.20300574
8,GOOGLE,55.27184853,25.20332395
9,GOOGLE,55.27247863,25.20302787
10,GOOGLE,55.2733747,25.2029737
11,GOOGLE,55.2736035,25.2023675
12,GOOGLE,55.2721217,25.20001539
13,GOOGLE,55.27188068,25.19970474
14,GOOGLE,55.27154942,25.20006814
15,GOOGLE,55.27082815,25.19989134
16,GOOGLE,55.27069893,25.2001904
17,GOOGLE,55.26967468,25.19977139
18,GOOGLE,55.2692263,25.19912647
19,GOOGLE,55.26959571,25.19858964
20,GOOGLE,55.26896349,25.19874844
21,GOOGLE,55.26913828,25.19814573
22,GOOGLE,55.26872721,25.19690587
1,MINDCONNECT,55.26174164,25.19325829
2,MINDCONNECT,55.26467896,25.19637108
3,MINDCONNECT,55.26799011,25.19976425
